timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1621630636015,284,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-4,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,284,utf-8,1,0,VDICOR1W14-23,0,45
1621630636299,428,CONSULTA_20_Posicoes,200,OK,LOAD 10VUs 1-4,text,true,,9015,17194,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,428,utf-8,1,0,VDICOR1W14-23,0,0
1621630636728,314,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-4,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,314,utf-8,1,0,VDICOR1W14-23,0,46
1621630633802,4121,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,391676,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3998,utf-8,1,0,VDICOR1W14-23,0,0
1621630634178,3788,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-3,text,true,,391676,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3492,utf-8,1,0,VDICOR1W14-23,0,0
1621630637925,303,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,303,utf-8,1,0,VDICOR1W14-23,0,36
1621630638228,3319,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,391676,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3161,utf-8,1,0,VDICOR1W14-23,0,0
1621630641549,284,CONSULTA_5_Posicoes,200,OK,LOAD 10VUs 1-2,text,true,,2385,4340,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,283,utf-8,1,0,VDICOR1W14-23,0,36
1621630631253,11702,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-6,text,true,,391677,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,6485,utf-8,1,0,VDICOR1W14-23,0,46
1621630634459,8513,CONSULTA_100_Posicoes,200,OK,LOAD 10VUs 1-5,text,true,,391677,82330,8,8,https://ib3api-qab.internalenv.corp/api/bacenjud/v1.0/priority-rule-engine,,3671,utf-8,1,0,VDICOR1W14-23,0,36
